Accession	Description
A1BM07	Putative uncharacterized protein OS=Ovine herpesvirus 2 GN=OvHV-2gp16 PE=4 SV=1 - [A1BM07_9GAMA]
A1BM59	Major envelope glycoprotein-like protein OS=Ovine herpesvirus 2 GN=OvHV-2gp68 PE=4 SV=1 - [A1BM59_9GAMA]
A1L5B6	Annexin OS=Bos taurus GN=ANXA5 PE=2 SV=1 - [A1L5B6_BOVIN]
A1YZ34	Xanthine oxidoreductase OS=Capra hircus PE=2 SV=1 - [A1YZ34_CAPHI]
A2I7L0	Apolipoprotein M (Fragment) OS=Ovis aries GN=APOM PE=4 SV=1 - [A2I7L0_SHEEP]
A2I7N2	Serpin A3-6 OS=Bos taurus GN=SERPINA3-6 PE=3 SV=1 - [SPA36_BOVIN]
A2P2G5	VH region (Fragment) OS=Ovis aries GN=VH PE=2 SV=1 - [A2P2G5_SHEEP]
A2P2H1	VH region (Fragment) OS=Ovis aries GN=VH PE=2 SV=1 - [A2P2H1_SHEEP]
A2P2H7	VH region (Fragment) OS=Ovis aries GN=VH PE=2 SV=1 - [A2P2H7_SHEEP]
A3F9D6	Lactoperoxidase OS=Capra hircus GN=LPO PE=1 SV=1 - [A3F9D6_CAPHI]
A3QP69	Ribosomal protein L13a (Fragment) OS=Ovis aries GN=RPL13A PE=2 SV=1 - [A3QP69_SHEEP]
A3QPC1	Lactoferrin OS=Capra hircus PE=2 SV=1 - [A3QPC1_CAPHI]
A4FUD2	HSD17B7 protein OS=Bos taurus GN=HSD17B7 PE=2 SV=1 - [A4FUD2_BOVIN]
A4FUE4	CCNI protein OS=Bos taurus GN=CCNI PE=2 SV=1 - [A4FUE4_BOVIN]
A4FV54	Ras-related protein Rab-8A OS=Bos taurus GN=RAB8A PE=2 SV=1 - [RAB8A_BOVIN]
A4IFC8	DNA ligase OS=Bos taurus GN=LIG1 PE=2 SV=1 - [A4IFC8_BOVIN]
A4ZVX4	MHC class I antigen (Fragment) OS=Ovis aries GN=ovar PE=2 SV=1 - [A4ZVX4_SHEEP]
A4ZVX7	MHC class I antigen (Fragment) OS=Ovis aries GN=ovar PE=2 SV=1 - [A4ZVX7_SHEEP]
A4ZVY6	Beta-2-microglobulin OS=Ovis aries PE=2 SV=1 - [A4ZVY6_SHEEP]
A4ZVY7	Beta-2-microglobulin OS=Ovis aries PE=2 SV=1 - [A4ZVY7_SHEEP]
A5A4Z6	Xanthine dehydrogenase (Fragment) OS=Ovis aries GN=XDH PE=2 SV=1 - [A5A4Z6_SHEEP]
A5D7S0	Alpha-soluble NSF attachment protein OS=Bos taurus GN=NAPA PE=2 SV=1 - [A5D7S0_BOVIN]
A5D7S3	TRMT1-like protein OS=Bos taurus GN=TRMT1L PE=2 SV=1 - [TRM1L_BOVIN]
A5D977	RALB protein OS=Bos taurus GN=RALB PE=2 SV=1 - [A5D977_BOVIN]
A5D984	Pyruvate kinase OS=Bos taurus GN=PKM2 PE=1 SV=1 - [A5D984_BOVIN]
A5D9D7	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 (Fragment) OS=Bos taurus GN=PLOD3 PE=2 SV=1 - [A5D9D7_BOVIN]
A5JSR7	Beta-lactoglobulin (Fragment) OS=Capra hircus PE=2 SV=1 - [A5JSR7_CAPHI]
A5JV04	Stabilin-1 interacting chitinase-like protein (Fragment) OS=Ovis aries PE=2 SV=1 - [A5JV04_SHEEP]
A5PJA8	ER membrane protein complex subunit 7 OS=Bos taurus GN=EMC7 PE=2 SV=1 - [EMC7_BOVIN]
A5YBU8	Complement component C2 (Fragment) OS=Ovis aries GN=C2 PE=3 SV=1 - [A5YBU8_SHEEP]
A5YBU9	Complement factor B OS=Ovis aries GN=CFB PE=3 SV=1 - [A5YBU9_SHEEP]
A6H761	mRNA cap guanine-N7 methyltransferase OS=Bos taurus GN=RNMT PE=2 SV=1 - [A6H761_BOVIN]
A6H7C2	Peroxisomal biogenesis factor 3 OS=Bos taurus GN=PEX3 PE=2 SV=1 - [PEX3_BOVIN]
A6H7J6	Protein disulfide-isomerase OS=Bos taurus GN=P4HB PE=1 SV=1 - [A6H7J6_BOVIN]
A6QLH7	ZNF582 protein OS=Bos taurus GN=ZNF582 PE=2 SV=1 - [A6QLH7_BOVIN]
A6QLL5	ATP1B2 protein OS=Bos taurus GN=ATP1B2 PE=2 SV=1 - [A6QLL5_BOVIN]
A6QM01	NAGLU protein OS=Bos taurus GN=NAGLU PE=2 SV=1 - [A6QM01_BOVIN]
A6QM09	Putative uncharacterized protein OS=Bos taurus PE=2 SV=1 - [A6QM09_BOVIN]
A6QNZ7	Keratin 10 (Epidermolytic hyperkeratosis; keratosis palmaris et plantaris) OS=Bos taurus GN=KRT10 PE=1 SV=1 - [A6QNZ7_BOVIN]
A6QP36	LMAN2 protein OS=Bos taurus GN=LMAN2 PE=2 SV=1 - [A6QP36_BOVIN]
A6QP48	MGC154957 protein OS=Bos taurus GN=MGC154957 PE=2 SV=1 - [A6QP48_BOVIN]
A6QPR1	PCYOX1 protein OS=Bos taurus GN=PCYOX1 PE=2 SV=1 - [A6QPR1_BOVIN]
A6QPT0	PIK3CG protein OS=Bos taurus GN=PIK3CG PE=2 SV=1 - [A6QPT0_BOVIN]
A6QQA8	Sulfhydryl oxidase OS=Bos taurus GN=QSOX1 PE=2 SV=1 - [A6QQA8_BOVIN]
A6QQW5	C11H2ORF7 protein OS=Bos taurus GN=C11H2ORF7 PE=2 SV=1 - [A6QQW5_BOVIN]
A6YLN0	Osteoclast stimulating factor 1 (Fragment) OS=Cervus elaphus GN=OSTF1 PE=2 SV=1 - [A6YLN0_CEREL]
A6YRY8	40S ribosomal protein SA OS=Ovis aries GN=RPSA PE=2 SV=1 - [RSSA_SHEEP]
A6ZE97	Mannose-6-phosphate receptor binding protein 1 (Fragment) OS=Ovis aries GN=M6PRBP1 PE=2 SV=1 - [A6ZE97_SHEEP]
A6ZE99	Perilipin OS=Ovis aries GN=ADFP PE=2 SV=1 - [A6ZE99_SHEEP]
A7E3A8	RABEP1 protein (Fragment) OS=Bos taurus GN=RABEP1 PE=2 SV=1 - [A7E3A8_BOVIN]
A8DR93	Heat shock protein alpha OS=Ovis aries GN=HSPCA PE=3 SV=1 - [A8DR93_SHEEP]
A8E654	COL18A1 protein OS=Bos taurus GN=COL18A1 PE=2 SV=1 - [A8E654_BOVIN]
A9YY83	Beta casein (Fragment) OS=Bos indicus PE=4 SV=1 - [A9YY83_BOSIN]
B0FYY4	Integrin beta-1 OS=Ovis aries GN=ITGB1 PE=2 SV=1 - [ITB1_SHEEP]
B0FYY5	Integrin subunit alphaV OS=Ovis aries PE=2 SV=1 - [B0FYY5_SHEEP]
B0FZM7	Transaldolase 1 (Fragment) OS=Ovis aries PE=2 SV=1 - [B0FZM7_SHEEP]
B0LRN2	Serum amyloid A protein (Fragment) OS=Ovis aries PE=2 SV=1 - [B0LRN2_SHEEP]
B1A8Z2	Calcium and integrin-binding protein 1 OS=Ovis aries GN=CIB1 PE=2 SV=1 - [CIB1_SHEEP]
B2LSM5	Lipase OS=Ovis aries PE=2 SV=1 - [B2LSM5_SHEEP]
B2LSM6	Beta-hexosaminidase OS=Ovis aries PE=2 SV=1 - [B2LSM6_SHEEP]
B2LSM7	N-acetylgalactosaminidase alpha OS=Ovis aries PE=2 SV=1 - [B2LSM7_SHEEP]
B2LT62	Toll-like receptor 2 OS=Capra ibex GN=TLR2 PE=3 SV=1 - [TLR2_CAPIB]
B2LT65	Toll-like receptor 2 OS=Ovis aries GN=TLR2 PE=2 SV=1 - [TLR2_SHEEP]
B2LYK6	RAS oncogene family-like 7A OS=Ovis aries GN=RAB7A PE=2 SV=1 - [B2LYK6_SHEEP]
B2MVW1	Tetraspanin OS=Ovis aries GN=CD81 PE=2 SV=1 - [B2MVW1_SHEEP]
B2MVX8	SLC25A37 OS=Ovis aries PE=2 SV=1 - [B2MVX8_SHEEP]
B2Z896	Kappa casein (Fragment) OS=Capra hircus PE=2 SV=1 - [B2Z896_CAPHI]
B2ZA84	Thioltransferase OS=Ovis aries PE=2 SV=1 - [B2ZA84_SHEEP]
B2ZHC0	RhoB OS=Ovis aries PE=2 SV=1 - [B2ZHC0_SHEEP]
B3VHM9	Albumin (Fragment) OS=Capra hircus PE=2 SV=1 - [B3VHM9_CAPHI]
B3VSB9	ITM2B OS=Ovis aries GN=ITM2B PE=2 SV=1 - [B3VSB9_SHEEP]
B3XVS8	RNA-directed RNA polymerase L OS=Borna disease virus PE=4 SV=1 - [B3XVS8_BDV]
B5B0D4	Major allergen beta-lactoglobulin OS=Bos taurus PE=2 SV=1 - [B5B0D4_BOVIN]
B6E141	Haptoglobin OS=Capra ibex GN=HP PE=2 SV=1 - [HPT_CAPIB]
B6UV62	SERPINF1 OS=Ovis aries GN=SERPINF1 PE=2 SV=1 - [B6UV62_SHEEP]
B7TJ13	Phosphoglycerate kinase OS=Ovis aries GN=PGK1 PE=2 SV=1 - [B7TJ13_SHEEP]
B8R1K3	Transferrin OS=Bos mutus grunniens PE=2 SV=1 - [B8R1K3_BOSMU]
B8Y9S9	Embryo-specific fibronectin 1 transcript variant OS=Bos taurus GN=FN1 PE=1 SV=1 - [B8Y9S9_BOVIN]
C0L7L1	Interferon tau (Fragment) OS=Ovis canadensis mexicana GN=IFNT PE=3 SV=1 - [C0L7L1_OVICA]
C0LU83	Myocyte enhancer factor 2C protein OS=Ovis aries GN=MEF2C PE=2 SV=1 - [C0LU83_SHEEP]
C5IJ84	RAB10 OS=Ovis aries PE=2 SV=1 - [C5IJ84_SHEEP]
C5IJ99	RHOA OS=Ovis aries GN=RHOA PE=2 SV=1 - [C5IJ99_SHEEP]
C5IJA3	RAP2A OS=Ovis aries PE=2 SV=1 - [C5IJA3_SHEEP]
C5ISA0	Non-specific protein-tyrosine kinase OS=Ovis aries GN=LYN PE=2 SV=1 - [C5ISA0_SHEEP]
C5ISA7	GNAZ OS=Ovis aries GN=GNAZ PE=2 SV=1 - [C5ISA7_SHEEP]
C5IWT6	JTV1 OS=Ovis aries GN=JTV1 PE=2 SV=1 - [C5IWT6_SHEEP]
C5IWU0	ADP-ribosylation factor 1 OS=Ovis aries GN=ARF1 PE=2 SV=1 - [C5IWU0_SHEEP]
C5IWU1	ADP-ribosylation factor 6 OS=Ovis aries GN=ARF6 PE=2 SV=1 - [C5IWU1_SHEEP]
C5IWU3	ADP-ribosylation factor 3 OS=Ovis aries GN=ARF3 PE=2 SV=1 - [C5IWU3_SHEEP]
C6ZP47	I alpha globin OS=Ovis aries musimon GN=HBAI PE=3 SV=1 - [C6ZP47_OVIMU]
C7EXM0	NR6A1 (Fragment) OS=Ovis aries PE=2 SV=1 - [C7EXM0_SHEEP]
C8BKC5	Peroxiredoxin 2 OS=Ovis aries GN=PRDX2 PE=2 SV=1 - [C8BKC5_SHEEP]
C8BKD1	Prothrombin OS=Ovis aries GN=F2 PE=2 SV=1 - [C8BKD1_SHEEP]
C8C9Q2	Keratin 5 (Fragment) OS=Ovis aries GN=KRT5 PE=2 SV=1 - [C8C9Q2_SHEEP]
D2D3I8	Alpha s1 casein OS=Ovis aries GN=CSN1S1 PE=2 SV=1 - [D2D3I8_SHEEP]
D3G9G3	Lactoferrin OS=Ovis aries GN=LF PE=3 SV=1 - [D3G9G3_SHEEP]
D5L0C1	Presenilin 1 (Fragment) OS=Ovis aries GN=PSEN1 PE=4 SV=1 - [D5L0C1_SHEEP]
D6PZY4	Factor H (Fragment) OS=Ovis aries GN=fH PE=2 SV=1 - [D6PZY4_SHEEP]
D6R7I9	Claudin OS=Ovis aries GN=CLDN7 PE=2 SV=1 - [D6R7I9_SHEEP]
D7UTZ9	Interleukin 1 alpha OS=Syncerus caffer GN=IL-1 alpha PE=2 SV=1 - [D7UTZ9_SYNCA]
D8X187	Serpin peptidase inhibitor clade B ovalbumin member 1 OS=Ovis aries GN=SERPINB1 PE=2 SV=1 - [D8X187_SHEEP]
E1B748	Uncharacterized protein OS=Bos taurus GN=HYOU1 PE=1 SV=1 - [E1B748_BOVIN]
E1B796	Uncharacterized protein OS=Bos taurus GN=SYTL3 PE=4 SV=1 - [E1B796_BOVIN]
E1B800	Uncharacterized protein OS=Bos taurus GN=RASAL2 PE=4 SV=2 - [E1B800_BOVIN]
E1B864	Integrin beta OS=Bos taurus GN=ITGB4 PE=1 SV=2 - [E1B864_BOVIN]
E1B8A0	Uncharacterized protein OS=Bos taurus GN=ACP5 PE=4 SV=1 - [E1B8A0_BOVIN]
E1B8B5	Uncharacterized protein OS=Bos taurus GN=HMSD PE=3 SV=2 - [E1B8B5_BOVIN]
E1B8L0	Uncharacterized protein OS=Bos taurus GN=ABCC9 PE=3 SV=2 - [E1B8L0_BOVIN]
E1B8Q8	Uncharacterized protein OS=Bos taurus GN=XPOT PE=4 SV=2 - [E1B8Q8_BOVIN]
E1B971	Uncharacterized protein OS=Bos taurus GN=RPTN PE=4 SV=2 - [E1B971_BOVIN]
E1B9H5	Uncharacterized protein OS=Bos taurus GN=TGFBR3 PE=4 SV=2 - [E1B9H5_BOVIN]
E1BB72	Uncharacterized protein OS=Bos taurus GN=RAD1 PE=4 SV=1 - [E1BB72_BOVIN]
E1BBS4	Uncharacterized protein OS=Bos taurus GN=ZSCAN23 PE=4 SV=2 - [E1BBS4_BOVIN]
E1BBW2	Uncharacterized protein OS=Bos taurus GN=KIAA1407 PE=4 SV=1 - [E1BBW2_BOVIN]
E1BC63	Uncharacterized protein OS=Bos taurus GN=WDR72 PE=4 SV=2 - [E1BC63_BOVIN]
E1BCH5	Non-specific serine/threonine protein kinase OS=Bos taurus GN=LATS1 PE=4 SV=1 - [E1BCH5_BOVIN]
E1BCI3	Uncharacterized protein OS=Bos taurus GN=SLC7A4 PE=4 SV=1 - [E1BCI3_BOVIN]
E1BD34	Olfactory receptor OS=Bos taurus GN=LOC100299686 PE=3 SV=2 - [E1BD34_BOVIN]
E1BD49	Uncharacterized protein (Fragment) OS=Bos taurus GN=FOXRED2 PE=4 SV=2 - [E1BD49_BOVIN]
E1BDC4	Uncharacterized protein OS=Bos taurus GN=AKNA PE=4 SV=2 - [E1BDC4_BOVIN]
E1BDI0	Uncharacterized protein OS=Bos taurus GN=LARGE PE=4 SV=1 - [E1BDI0_BOVIN]
E1BDS3	Olfactory receptor OS=Bos taurus GN=OR52K1 PE=3 SV=2 - [E1BDS3_BOVIN]
E1BE12	Uncharacterized protein (Fragment) OS=Bos taurus GN=CNTN4 PE=4 SV=2 - [E1BE12_BOVIN]
E1BE13	Uncharacterized protein OS=Bos taurus GN=BIRC6 PE=4 SV=2 - [E1BE13_BOVIN]
E1BEE6	Uncharacterized protein OS=Bos taurus GN=WRN PE=4 SV=2 - [E1BEE6_BOVIN]
E1BF27	Uncharacterized protein OS=Bos taurus GN=SLC38A10 PE=1 SV=2 - [E1BF27_BOVIN]
E1BFB9	Protein FAM114A2 OS=Bos taurus GN=FAM114A1 PE=4 SV=1 - [E1BFB9_BOVIN]
E1BFH7	Uncharacterized protein OS=Bos taurus GN=SMC6 PE=4 SV=1 - [E1BFH7_BOVIN]
E1BG07	Uncharacterized protein OS=Bos taurus GN=CWF19L1 PE=4 SV=2 - [E1BG07_BOVIN]
E1BG18	Uncharacterized protein OS=Bos taurus GN=ZNF518A PE=4 SV=2 - [E1BG18_BOVIN]
E1BG25	Uncharacterized protein OS=Bos taurus GN=MFI2 PE=3 SV=1 - [E1BG25_BOVIN]
E1BG58	Uncharacterized protein (Fragment) OS=Bos taurus GN=LOC538060 PE=4 SV=2 - [E1BG58_BOVIN]
E1BGT6	Uncharacterized protein OS=Bos taurus GN=PUS7L PE=4 SV=2 - [E1BGT6_BOVIN]
E1BH06	Uncharacterized protein OS=Bos taurus GN=C4A PE=1 SV=2 - [E1BH06_BOVIN]
E1BH94	Uncharacterized protein (Fragment) OS=Bos taurus GN=PGLYRP2 PE=4 SV=2 - [E1BH94_BOVIN]
E1BHJ0	Profilin OS=Bos taurus PE=3 SV=1 - [E1BHJ0_BOVIN]
E1BIQ8	Uncharacterized protein OS=Bos taurus GN=MPP5 PE=4 SV=1 - [E1BIQ8_BOVIN]
E1BJ22	Uncharacterized protein OS=Bos taurus GN=SPAG5 PE=4 SV=2 - [E1BJ22_BOVIN]
E1BJI6	Uncharacterized protein OS=Bos taurus GN=FBXL13 PE=4 SV=2 - [E1BJI6_BOVIN]
E1BJV0	Uncharacterized protein OS=Bos taurus GN=EHD4 PE=4 SV=1 - [E1BJV0_BOVIN]
E1BKT1	Uncharacterized protein OS=Bos taurus GN=ACPT PE=4 SV=1 - [E1BKT1_BOVIN]
E1BKX7	Uncharacterized protein OS=Bos taurus GN=FLNB PE=1 SV=2 - [E1BKX7_BOVIN]
E1BLM2	Uncharacterized protein OS=Bos taurus GN=NRCAM PE=4 SV=2 - [E1BLM2_BOVIN]
E1BME2	AP-3 complex subunit beta OS=Bos taurus GN=AP3B2 PE=3 SV=2 - [E1BME2_BOVIN]
E1BMN1	Uncharacterized protein OS=Bos taurus GN=ASIC4 PE=3 SV=2 - [E1BMN1_BOVIN]
E1BMS5	Histone acetyltransferase OS=Bos taurus GN=KAT5 PE=3 SV=1 - [E1BMS5_BOVIN]
E1BN32	Uncharacterized protein OS=Bos taurus GN=RP1L1 PE=4 SV=2 - [E1BN32_BOVIN]
E1BNE2	Uncharacterized protein OS=Bos taurus GN=CAND2 PE=4 SV=2 - [E1BNE2_BOVIN]
E1BNI2	Uncharacterized protein OS=Bos taurus GN=LOC101905937 PE=4 SV=1 - [E1BNI2_BOVIN]
E1BNR3	CUE domain-containing protein 2 OS=Bos taurus GN=CUEDC2 PE=4 SV=2 - [E1BNR3_BOVIN]
E1BNR9	Uncharacterized protein OS=Bos taurus GN=SEMA7A PE=4 SV=1 - [E1BNR9_BOVIN]
E2FB11	Mannose C-type lectin receptor OS=Ovis aries PE=2 SV=1 - [E2FB11_SHEEP]
E3VL24	Angiopoietin-like protein 4 (Fragment) OS=Capra hircus PE=2 SV=1 - [E3VL24_CAPHI]
E4WMC0	Alpha-S2-casein (Fragment) OS=Ovis aries GN=csn1s2 PE=4 SV=1 - [E4WMC0_SHEEP]
E7BQS1	Alpha-S2-casein OS=Ovis aries GN=CSN1S2 PE=2 SV=1 - [E7BQS1_SHEEP]
E7BQS2	Alpha-s2-casein OS=Ovis aries GN=CSN1S2 PE=2 SV=1 - [E7BQS2_SHEEP]
E7BQS5	Alpha-s2-casein OS=Ovis aries GN=CSN1S2 PE=2 SV=1 - [E7BQS5_SHEEP]
E7BUN5	Leucyl/cystinyl aminopeptidase (Fragment) OS=Elaphurus davidianus GN=LNPEP PE=4 SV=1 - [E7BUN5_ELADA]
E7E1P5	Kappa casein (Fragment) OS=Bos indicus GN=CSN3 PE=4 SV=1 - [E7E1P5_BOSIN]
E9K9T6	Fatty acid synthase (Fragment) OS=Ovis aries PE=2 SV=1 - [E9K9T6_SHEEP]
E9NRZ3	Beta-1,4-galactosyltransferase I OS=Capra hircus GN=B4GALT1 PE=2 SV=1 - [E9NRZ3_CAPHI]
F1MCK2	Uncharacterized protein OS=Bos taurus GN=AHNAK PE=1 SV=2 - [F1MCK2_BOVIN]
F1MDD5	Uncharacterized protein (Fragment) OS=Bos taurus GN=LAMA3 PE=1 SV=2 - [F1MDD5_BOVIN]
F1MDI7	P2Y purinoceptor 2 OS=Bos taurus GN=P2RY2 PE=3 SV=2 - [F1MDI7_BOVIN]
F1MEX9	Uncharacterized protein OS=Bos taurus GN=ACSL3 PE=4 SV=2 - [F1MEX9_BOVIN]
F1MFB9	Transporter (Fragment) OS=Bos taurus GN=SLC6A16 PE=3 SV=2 - [F1MFB9_BOVIN]
F1MFQ4	Uncharacterized protein (Fragment) OS=Bos taurus GN=ZBTB4 PE=4 SV=2 - [F1MFQ4_BOVIN]
F1MHA1	Uncharacterized protein (Fragment) OS=Bos taurus GN=KMT2A PE=4 SV=2 - [F1MHA1_BOVIN]
F1MI10	Uncharacterized protein (Fragment) OS=Bos taurus PE=4 SV=1 - [F1MI10_BOVIN]
F1MJA5	Uncharacterized protein (Fragment) OS=Bos taurus GN=FAM171A1 PE=4 SV=2 - [F1MJA5_BOVIN]
F1MK79	Uncharacterized protein OS=Bos taurus GN=CEP295 PE=4 SV=2 - [F1MK79_BOVIN]
F1MKC4	Uncharacterized protein OS=Bos taurus PE=3 SV=2 - [F1MKC4_BOVIN]
F1MKS3	Uncharacterized protein (Fragment) OS=Bos taurus GN=TXNDC5 PE=1 SV=2 - [F1MKS3_BOVIN]
F1MKX5	Uncharacterized protein OS=Bos taurus GN=NKX2-4 PE=4 SV=2 - [F1MKX5_BOVIN]
F1MM31	Uncharacterized protein (Fragment) OS=Bos taurus GN=NCKAP5 PE=4 SV=2 - [F1MM31_BOVIN]
F1MM43	Uncharacterized protein OS=Bos taurus GN=RAD52 PE=4 SV=1 - [F1MM43_BOVIN]
F1MMP5	Inter-alpha-trypsin inhibitor heavy chain H1 OS=Bos taurus GN=ITIH1 PE=4 SV=1 - [F1MMP5_BOVIN]
F1MN60	Calcium-transporting ATPase OS=Bos taurus GN=ATP2B2 PE=3 SV=2 - [F1MN60_BOVIN]
F1MNP9	Uncharacterized protein (Fragment) OS=Bos taurus GN=GRIA4 PE=4 SV=2 - [F1MNP9_BOVIN]
F1MNS0	Uncharacterized protein OS=Bos taurus GN=HERC1 PE=4 SV=2 - [F1MNS0_BOVIN]
F1MNT1	Uncharacterized protein OS=Bos taurus GN=NUP155 PE=4 SV=2 - [F1MNT1_BOVIN]
F1MP29	Phospholipid-transporting ATPase (Fragment) OS=Bos taurus PE=3 SV=2 - [F1MP29_BOVIN]
F1MQ35	T-complex protein 1 subunit zeta-2 OS=Bos taurus GN=CCT6B PE=3 SV=1 - [F1MQ35_BOVIN]
F1MQ86	Uncharacterized protein (Fragment) OS=Bos taurus GN=FAXC PE=4 SV=2 - [F1MQ86_BOVIN]
F1MQD1	Uncharacterized protein OS=Bos taurus GN=CAPN5 PE=4 SV=2 - [F1MQD1_BOVIN]
F1MSW4	Mitotic spindle assembly checkpoint protein MAD2B OS=Bos taurus GN=MAD2L2 PE=4 SV=1 - [F1MSW4_BOVIN]
F1MSZ6	Antithrombin-III OS=Bos taurus GN=SERPINC1 PE=1 SV=1 - [F1MSZ6_BOVIN]
F1MTP5	WD repeat-containing protein 1 OS=Bos taurus GN=WDR1 PE=4 SV=2 - [F1MTP5_BOVIN]
F1MTV3	Uncharacterized protein OS=Bos taurus GN=TECTA PE=4 SV=2 - [F1MTV3_BOVIN]
F1MUT3	Xanthine dehydrogenase/oxidase OS=Bos taurus GN=XDH PE=1 SV=1 - [F1MUT3_BOVIN]
F1MW03	Uncharacterized protein OS=Bos taurus GN=TSTD1 PE=4 SV=2 - [F1MW03_BOVIN]
F1MWI1	Clusterin (Fragment) OS=Bos taurus PE=3 SV=2 - [F1MWI1_BOVIN]
F1MXJ5	IST1 homolog OS=Bos taurus GN=IST1 PE=4 SV=2 - [F1MXJ5_BOVIN]
F1MZV2	Uncharacterized protein OS=Bos taurus GN=CHMP5 PE=4 SV=1 - [F1MZV2_BOVIN]
F1N1B8	Uncharacterized protein (Fragment) OS=Bos taurus GN=KANK1 PE=4 SV=1 - [F1N1B8_BOVIN]
F1N1K6	Uncharacterized protein (Fragment) OS=Bos taurus GN=DNHD1 PE=4 SV=2 - [F1N1K6_BOVIN]
F1N2B5	Uncharacterized protein OS=Bos taurus GN=SLC3A2 PE=4 SV=2 - [F1N2B5_BOVIN]
F1N3H1	Calumenin OS=Bos taurus GN=CALU PE=1 SV=1 - [F1N3H1_BOVIN]
F1N3Q7	Apolipoprotein A-IV OS=Bos taurus GN=APOA4 PE=4 SV=1 - [F1N3Q7_BOVIN]
F1N3S5	Ubiquitin carboxyl-terminal hydrolase OS=Bos taurus GN=USP32 PE=3 SV=2 - [F1N3S5_BOVIN]
F1N489	Uncharacterized protein OS=Bos taurus GN=LOC532100 PE=4 SV=2 - [F1N489_BOVIN]
F1N5L6	Desmocollin-3 (Fragment) OS=Bos taurus GN=DSC3 PE=4 SV=2 - [F1N5L6_BOVIN]
F1N650	Annexin OS=Bos taurus GN=ANXA1 PE=1 SV=1 - [F1N650_BOVIN]
F1N6C1	Uncharacterized protein (Fragment) OS=Bos taurus GN=LRRK1 PE=4 SV=1 - [F1N6C1_BOVIN]
F1N6N3	EH domain-containing protein 1 (Fragment) OS=Bos taurus GN=EHD1 PE=4 SV=2 - [F1N6N3_BOVIN]
F1N6R6	Uncharacterized protein OS=Bos taurus GN=BRDT PE=4 SV=1 - [F1N6R6_BOVIN]
F1N725	Uncharacterized protein OS=Bos taurus GN=LMLN PE=4 SV=2 - [F1N725_BOVIN]
F2YQ13	Gelsolin isoform b OS=Ovis aries GN=GSN PE=2 SV=1 - [F2YQ13_SHEEP]
F4YD05	Calmodulin 2 (Fragment) OS=Bubalus bubalis GN=CALM2 PE=2 SV=1 - [F4YD05_BUBBU]
F5CC79	Beta-1,4-galactosyltransferase I OS=Ovis aries GN=B4GALT1 PE=2 SV=1 - [F5CC79_SHEEP]
F6RM11	Uncharacterized protein OS=Bos taurus GN=NPTN PE=4 SV=1 - [F6RM11_BOVIN]
F7VJN3	Major histocompatibility class I related protein (Fragment) OS=Bos taurus GN=MIC3 PE=2 SV=1 - [F7VJN3_BOVIN]
F8R2J8	Cytochrome b (Fragment) OS=Bos taurus GN=cytb PE=4 SV=1 - [F8R2J8_BOVIN]
